code,date,value
CPTRV,1/29/2009,1008.3333
DIFF,1/29/2009,1
ETRAV,1/29/2009,600
ETRVU,1/29/2009,0
HRATE,1/29/2009,0
MIOPM,1/29/2009,-2147483648
MIREV,1/29/2009,0
MKPRU,1/29/2009,0
MKTCP,1/29/2009,0
MWNTD,1/29/2009,0
MWNUS,1/29/2009,2
MWTRV,1/29/2009,0
NADDU,1/29/2009,122
NETDF,1/29/2009,0
NTRAN,1/29/2009,122
NTRAT,1/29/2009,2199
NTRBL,1/29/2009,1.0083
NTREP,1/29/2009,122
TOTBC,1/29/2009,110050
TOUTV,1/29/2009,6650
TRFEE,1/29/2009,0
TRFUS,1/29/2009,0
TRVOU,1/29/2009,0
TVTVR,1/29/2009,0
ATRCT,1/30/2009,0
AVBLS,1/30/2009,0.0002
BCDDC,1/30/2009,17445
BCDDE,1/30/2009,1492
BCDDM,1/30/2009,0
BCDDW,1/30/2009,0
BCDDY,1/30/2009,0
BLCHS,1/30/2009,0
